conf,P,R,F1
0.00327,0.18787837562070608,0.9809109473497292,0.3153553027816233
0.00324,0.1871697601950955,0.9812660925153156,0.3143747066604088
0.00321,0.1864163799500776,0.9813548788067122,0.3133158528807313
0.00318,0.18566917495296964,0.9814436650981089,0.3122642975183266
0.00315,0.18491134158581465,0.9814436650981089,0.3111918134087806
0.00311,0.18417632946821272,0.9815324513895055,0.3101547266682565
0.00308,0.18344726886573307,0.981621237680902,0.3091247151584628
0.00305,0.18272408778424115,0.9817100239722987,0.3081017067223964
0.00302,0.1820067153861347,0.9817988102636953,0.30708563018092444
0.003,0.18127868852459017,0.9817988102636953,0.3060487386352629
0.00297,0.18055646267389458,0.9817988102636953,0.3050188257685465
0.00294,0.17985623211033047,0.981887596555092,0.30402331239433134
0.00291,0.17914533791226592,0.981887596555092,0.3030070552777588
0.00289,0.17847231186265652,0.9820651691378851,0.3020521853111048
0.00286,0.17783670845387337,0.9824203143034715,0.301158090987031
0.00284,0.17715804303278687,0.9825091005948682,0.30018853337311974
0.00281,0.17646871212604454,0.9825091005948682,0.2991983344824323
0.00279,0.1758164951073834,0.9826866731776613,0.29826854409485953
0.00276,0.17513766694094562,0.9826866731776613,0.29729112666030966
0.00274,0.1744798234552333,0.982775459469058,0.29634686692636175
0.00271,0.1738584259782677,0.9830418183432478,0.29546212656944243
0.00269,0.1731948441997247,0.9830418183432478,0.29450333151573993
0.00266,0.17253630867044817,0.9830418183432478,0.2935507390468615
0.00264,0.17191381023348237,0.983219390926041,0.2926571439897462
0.00262,0.17126507887411074,0.983219390926041,0.2917166076156106
0.00259,0.17062122519413286,0.983219390926041,0.2907820972337101
0.00257,0.16999754405353965,0.9833081772174376,0.2898797293583385
0.00255,0.16936322485931002,0.9833081772174376,0.2889570151979649
0.00253,0.1687336217929185,0.9833081772174376,0.28804015656900606
0.00251,0.1681238615664845,0.9833969635088342,0.2871550237869929
0.00249,0.16751860141552236,0.9834857498002308,0.286275472624601
0.00246,0.16690272420443586,0.9834857498002308,0.28537568754750037
0.00244,0.166306371224404,0.9835745360916275,0.2845072231139647
0.00242,0.16569941366519086,0.9835745360916275,0.2836185819070905
0.0024,0.16509687034277198,0.9835745360916275,0.28273547465002613
0.00238,0.16449869327631267,0.9835745360916275,0.2818578498098134
